,city,city_date,city_id,cloudiness,country,humidity,lat,lng,max_temp,wind_speed
281,Talnakh,11-05-2017,1490256,80,RU,80,69.49,88.4,22.87,9.42
282,Ushuaia,11-05-2017,3833367,0,AR,58,-54.8,-68.3,50.56,12.75
283,New Norfolk,11-05-2017,2155415,40,AU,46,-42.78,147.06,53.6,12.75
284,Eyl,11-05-2017,60019,12,SO,97,7.98,49.82,76.42,12.55
285,Mathura,11-05-2017,1263364,0,IN,81,27.5,77.68,61.26,2.71
286,Ribeira Grande,11-05-2017,3372707,40,PT,82,38.52,-28.7,66.2,6.93
287,Felege Neway,11-05-2017,337853,80,ET,89,6.3,36.88,63.24,1.7
288,Yulara,11-05-2017,6355222,0,AU,37,-25.24,130.99,71.6,11.41
289,Santana do Paraiso,11-05-2017,3449933,88,BR,100,-19.36,-42.57,68.46,3.38
290,Hermosillo,11-05-2017,4004898,5,MX,18,29.07,-110.97,93.2,5.39
291,Katsuura,11-05-2017,2112309,20,JP,58,35.13,140.3,53.6,5.82
292,Rikitea,11-05-2017,4030556,44,PF,100,-23.12,-134.97,74.67,12.55
293,Busselton,11-05-2017,2075265,0,AU,93,-33.65,115.33,65.71,22.28
294,Vaini,11-05-2017,4032243,75,TO,69,-21.2,-175.2,80.6,4.7
295,Mathura,11-05-2017,1263364,0,IN,81,27.5,77.68,61.26,2.71
296,Ludwigsburg,11-05-2017,2875392,75,DE,87,48.9,9.19,42.8,6.93
297,Arraial do Cabo,11-05-2017,3471451,92,BR,100,-22.97,-42.03,71.61,13.0
298,Mar del Plata,11-05-2017,3430863,0,AR,77,-38.0,-57.56,60.8,3.36
299,Norman Wells,11-05-2017,6089245,75,CA,78,65.28,-126.83,15.8,3.36
300,Victoria,11-05-2017,6174041,75,CA,41,48.43,-123.37,40.98,6.93
301,Faanui,11-05-2017,4034551,80,PF,100,-16.48,-151.75,78.45,6.4
302,Hithadhoo,11-05-2017,1282256,76,MV,100,-0.6,73.08,76.74,12.44
303,Bredasdorp,11-05-2017,1015776,8,ZA,59,-34.53,20.04,64.4,6.93
304,Cherskiy,11-05-2017,2126199,88,RU,76,68.75,161.3,33.72,10.09
305,Gibson,11-05-2017,4197055,1,US,77,33.23,-82.6,72.09,3.71
306,Barenburg,11-05-2017,2952767,0,DE,86,52.62,8.8,41.49,4.7
307,Asau,11-05-2017,686090,90,RO,100,46.43,26.4,46.4,11.41
308,Pevek,11-05-2017,2122090,44,RU,75,69.7,170.31,31.69,26.19
309,Ushuaia,11-05-2017,3833367,0,AR,58,-54.8,-68.3,50.56,12.75
310,Balclutha,11-05-2017,2208248,76,NZ,58,-46.23,169.75,52.8,20.6
311,Lebu,11-05-2017,3883457,44,CL,95,-37.62,-73.65,56.26,11.43
312,Mathura,11-05-2017,1263364,0,IN,81,27.5,77.68,61.26,2.71
313,Carnarvon,11-05-2017,2074865,0,AU,88,-24.87,113.63,74.22,11.77
314,Kodiak,11-05-2017,5866583,90,US,86,57.79,-152.41,39.2,12.75
315,Shingu,11-05-2017,1847947,20,JP,82,33.73,135.98,55.4,2.24
316,Departamento del Vichada,11-05-2017,3666082,48,CO,80,5.0,-69.5,79.84,1.59
